dataset.id,dataset.name,dataset.license_title,dataset.license_id,dataset.isopen,dataset.tracking_summary.total,dataset.tracking_summary.recent,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url,resource_tracking_summary_total,resource_tracking_summary_recent
ddea1dc7-3cb2-4399-ba85-ad7495c4c982,australia-act-barbecue-bbq-locations,Creative Commons Attribution,cc-by,True,35,5,527ae82f-c81a-48cd-8b01-e877634ac583,n/a,n/a,2011-10-19T08:22:14.236514,XLS,http://www2.australia.gov.au/datasets/States%20&%20Territories/ACT%20-%20BBQ%27s%20-%20V_NM_BBQ_IAMS15092009.xls,3,3
eb6b750c-68e8-4b51-9af0-b03431179c99,australia-adopt-a-roadside-vic,n/a,n/a,False,7,3,7be11ecf-3153-4df2-8e75-04c5f77c9696,n/a,n/a,2010-06-13T01:43:32.355660,XLS,http://www.sustainability.vic.gov.au/resources/documents/Adopt_a_Roadside_activity.xls,27,3
ab2e6a11-9b54-487c-9e44-3c9f4a3ca0d9,australia-austrics-timetable-set,n/a,n/a,False,33,3,56b237c6-b8fe-45dd-b0bf-7e114efa61fa,n/a,n/a,2010-06-13T01:43:11.986194,XLS,http://www2.australia.gov.au/datasets/States%20&%20Territories/NT%20-%20Bus%20routes%20&%20timetable%20data%20(4%20Darwin%202008%20-%20Timetable%20Data).xls,5,5
7bf8086e-ed7c-4969-a5b5-ddac128f5f14,australia-beachwatch-and-harbourwatch-daily-bulletins,n/a,n/a,False,14,6,0160c345-c299-44bd-ab89-46b788e83941,n/a,n/a,2010-06-13T01:43:09.543007,rss,http://www.environment.nsw.gov.au/beachApp/hbrupd.aspx,3,3
7bf8086e-ed7c-4969-a5b5-ddac128f5f14,australia-beachwatch-and-harbourwatch-daily-bulletins,n/a,n/a,False,14,6,2343b44a-175a-40f2-a620-cd73d0ccc293,n/a,n/a,2010-06-13T01:43:09.543007,rss,http://www.environment.nsw.gov.au/beachApp/beachupd.aspx,0,0
ae724b52-f52a-4c0b-bcfd-962393bd32e4,australia-byteback-locations-vic,n/a,n/a,False,13,3,c692058a-108a-4452-900c-522d9bf24007,n/a,n/a,2010-06-13T01:43:07.039472,XLS,http://www.sustainability.vic.gov.au/resources/documents/Byteback_Locations_October_2009.xls,7,3
46282aa2-0c58-4010-9110-d9a0f6fcaccc,australia-commonwealth-agencies,n/a,n/a,False,5,3,5dd92d1a-26c1-407d-9b6b-cb51699f0e91,n/a,n/a,2010-06-13T01:43:04.618320,XML,http://www2.australia.gov.au/datasets/Federal/NAA/Commonwealth%20Agencies.zip,3,3
ce153a09-d31b-48b5-98de-95595135ffb3,australia-commonwealth-marine-protected-areas-managed-by-dewha,n/a,n/a,False,9,3,6ad08d44-a0f5-4ae7-ab82-2360bb9dc5c2,n/a,n/a,2010-06-13T01:43:02.233446,esri shapefile,http://www2.australia.gov.au/datasets/Federal/DEWHA/comm_mpa_shp.zip,7,3
d50ea0ee-5dba-4341-8ab5-139bd5d3ac3c,australia-council-funded-arts-organisations-2009,n/a,n/a,False,7,3,11e6301e-6974-4433-9105-a2e5478bd5c1,n/a,n/a,2010-06-13T01:43:29.903053,XLS,http://www.australiacouncil.gov.au/__data/assets/excel_doc/0005/66488/AOTM_-_organisations_DATA_UPLOAD.xls,3,3
c078debc-bfb1-4e7a-ad2a-85c5a26db470,australia-crime-incident-type-and-frequency-by-capital-city-and-nationally,n/a,n/a,False,25,5,786f74b1-c379-4fdb-8440-75b3376a1383,n/a,n/a,2010-06-13T01:42:59.825657,XLS,http://www2.australia.gov.au/datasets/Federal/AFP/AFP%20-%20Crime%20incidents%20data.xls,17,3
9f1825e0-efd0-4c7e-8c23-532a98571a8c,australia-cycling-in-new-south-wales-what-the-data-tells-us-and-related-data,n/a,n/a,False,15,5,36066765-9d75-4922-8df0-9871a8cfc64d,n/a,n/a,2010-06-13T01:43:37.223882,XLS,http://www2.australia.gov.au/datasets/States%20&%20Territories/NSW/fwdbicyclecounterdata.zip,3,3
ab3eee04-b3d5-4a05-ad94-0112436dc60f,australia-daily-weather-observations,n/a,n/a,False,49,5,e590bf3b-8a73-4fb2-87c4-f5dfd744b1fe,n/a,n/a,2010-06-13T01:42:51.841119,XLS,http://www2.australia.gov.au/datasets/Federal/BoM/BoM%20-%20Daily%20weather%20data%20for%202008.zip,11,5
076d6f1d-a8cd-4159-ac93-686982124046,australia-detox-your-home-locations-vic,n/a,n/a,False,7,3,b5d5f4cb-0b51-4abd-adcc-9fe8ada8b7e4,n/a,n/a,2010-06-13T01:42:49.352876,XLS,http://www.sustainability.vic.gov.au/resources/documents/DetoxYourHomeLocations_Oct09.xls,3,3
12d26e0a-3573-400f-b66d-9c9bb421e085,australia-distance-to-legal-service-providers-from-disadvantaged-suburbs,n/a,n/a,False,11,5,30de6e78-7b07-48bf-a268-5fc813066c98,n/a,n/a,2010-06-13T01:42:46.489614,XLS,http://www2.australia.gov.au/datasets/Federal/AG/Distance%20from%20legal%20service%20providers%20to%20highly%20disadvantaged%20suburbs.XLS,5,3
b8cd82a4-8e7c-4f47-9ed9-8dd7478b7d02,australia-drainage-basins-queensland,n/a,n/a,False,33,3,93fd0a3e-c808-42fd-88a4-d51b9347eed6,n/a,n/a,2010-06-13T01:42:44.092717,esri shape files,http://www2.australia.gov.au/datasets/States%20&%20Territories/QLD/IQATLAS.QLD_DRNBASIN_100K.zip,5,3
70813fc2-0494-44bd-b1a5-873e7d3b34e6,australia-economic-stimulus-package-project-data-community-infrastructure-road-rail-projects,n/a,n/a,False,15,3,a9954c5f-ef5b-43c2-b8c0-a740a623460f,n/a,n/a,2010-06-13T01:42:41.653493,XLS,http://www2.australia.gov.au/datasets/Federal/DITRD&LG/Economic%20Stimulus%20Package%20Project%20Data%20(community%20infrastructure%20&%20road%20&%20rail%20projects)%208_09_2009.zip,11,3
d086fa47-86bd-46a3-bc72-2b8ec351708c,australia-fire-brigade-locations-vic,Creative Commons Attribution,cc-by,True,69,5,2bff1408-65ee-49b7-9ffe-57cbfee14007,n/a,n/a,2012-09-05T05:58:25.731689,CSV,http://www.premier.vic.gov.au/images/stories/datasets/brigades.csv,13,3
55b477a1-f16f-416a-a131-003e9ab313d9,australia-frog-atlas-sa,n/a,n/a,False,159,5,f838779c-eb6f-4805-9550-6326f436fb9d,n/a,n/a,2010-06-13T01:42:33.353307,XLS,http://www2.australia.gov.au/datasets/States%20&%20Territories/SA%20-%20Frog%20Atlas.zip,7,3
61cd22b1-b823-4f5d-a46c-bbdfeea82354,australia-groundwater-observation-bore-sites,n/a,n/a,False,13,3,70ecd446-97ab-4c54-8b6f-b95ddfec6885,n/a,n/a,2010-06-13T01:42:30.793522,esri shape files,http://www2.australia.gov.au/datasets/States%20&%20Territories/QLD/QLD_GW_OBSERBORE_0.zip,0,0
4951a223-d664-4f70-95f1-4bf43f6acf93,australia-higher-education-course-completions,n/a,n/a,False,23,5,7762bd30-fa7e-4e27-bafe-802e37ae64cb,n/a,n/a,2010-06-13T01:42:28.362649,CSV,http://www2.australia.gov.au/datasets/Federal/DEEWR/completions.zip,7,3
97da4a00-3645-4798-bf99-8ff5665ee21d,australia-higher-education-enrolments,n/a,n/a,False,49,5,400a6e22-d42f-41b5-a12a-797815dcc319,n/a,n/a,2010-06-13T01:42:25.879861,CSV,http://www2.australia.gov.au/datasets/Federal/DEEWR/enrol.zip,19,3
5d6eeffd-eb3a-4fdf-bdc1-8b87c84a7e61,australia-hospital-locations-vic,n/a,n/a,False,41,3,59151e91-0b01-438b-9e75-218fe585eea0,n/a,n/a,2010-06-13T01:42:23.217498,kml/kmz,http://www.health.vic.gov.au/maps/downloads/vic_hospitals.kmz,7,3
4182b32a-ea74-45cb-8559-cc9254107144,australia-integrated-vegetation-cover-2003-version-1,n/a,n/a,False,5,3,89536ee6-8370-4527-b184-50311527128f,n/a,n/a,2010-06-13T01:42:16.006936,esri grid,http://www2.australia.gov.au/datasets/Federal/DAFF/Integrated%20Vegetation%20Cover%20(2003).zip,7,3
ca80a1dd-7a0b-47a7-b22b-90870e8ee65f,australia-journey-planner-data-nt,n/a,n/a,False,19,3,7b9c4ad1-a789-4325-b109-969612412765,n/a,n/a,2010-06-13T01:42:13.639230,XLS,http://www2.australia.gov.au/datasets/States%20&%20Territories/NT%20-%20Bus%20routes%20&%20timetable%20data%20(2%20Final%20data%20V6).xls.zip,3,3
