dataset.id,dataset.name,dataset.license_title,dataset.license_id,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url
37ae971a-2c7c-4b71-acec-62cecf927fd2,hpaada,UK Open Government Licence (OGL),uk-ogl,9e4a828e-62db-456f-9c57-ea4050591960,101,2014-09-25T05:56:15.652353,2014-09-25T05:56:29.974171,CSV,http://demo.ckan.org/dataset/37ae971a-2c7c-4b71-acec-62cecf927fd2/resource/9e4a828e-62db-456f-9c57-ea4050591960/download/101.csv
37ae971a-2c7c-4b71-acec-62cecf927fd2,hpaada,UK Open Government Licence (OGL),uk-ogl,570eeee8-4a9c-415f-89ef-9b408c1768fe,101,2014-09-25T05:58:11.393440,2014-09-25T06:00:14.243547,JSON,http://demo.ckan.org/dataset/37ae971a-2c7c-4b71-acec-62cecf927fd2/resource/570eeee8-4a9c-415f-89ef-9b408c1768fe/download/101.csv
37ae971a-2c7c-4b71-acec-62cecf927fd2,hpaada,UK Open Government Licence (OGL),uk-ogl,daf0d8f3-e8bd-4a48-975b-1e2e04823306,101,2014-09-25T05:58:29.171451,2014-09-25T06:00:23.866076,XML,http://demo.ckan.org/dataset/37ae971a-2c7c-4b71-acec-62cecf927fd2/resource/daf0d8f3-e8bd-4a48-975b-1e2e04823306/download/101.csv
54fce67d-8009-4c65-9cfb-52cf22e7106a,hpadb,UK Open Government Licence (OGL),uk-ogl,220e605e-0553-46db-b429-691816fd7223,,2014-09-25T06:01:40.087014,2014-09-25T08:33:41.394861,CSV,http://demo.ckan.org/zh_TW/dataset/54fce67d-8009-4c65-9cfb-52cf22e7106a/resource/220e605e-0553-46db-b429-691816fd7223/download/123.csv
54fce67d-8009-4c65-9cfb-52cf22e7106a,hpadb,UK Open Government Licence (OGL),uk-ogl,a88807d7-44ec-4884-b3a4-8124b73f440f,,2014-09-25T06:01:58.179385,2014-09-25T06:02:16.627948,JSON,http://demo.ckan.org/zh_TW/dataset/54fce67d-8009-4c65-9cfb-52cf22e7106a/resource/a88807d7-44ec-4884-b3a4-8124b73f440f/download/.csv
54fce67d-8009-4c65-9cfb-52cf22e7106a,hpadb,UK Open Government Licence (OGL),uk-ogl,2751a305-d0d6-4bd2-954e-cc313524ba3d,,2014-09-25T06:02:16.663069,2014-09-25T06:02:21.693814,XML,http://demo.ckan.org/zh_TW/dataset/54fce67d-8009-4c65-9cfb-52cf22e7106a/resource/2751a305-d0d6-4bd2-954e-cc313524ba3d/download/.csv
dda6bdde-39ec-4a2d-bd4f-09f997e37a6f,http-data-seoul-go-kr-openinf-fileview-jsp-infid-oa-12036,License Not Specified,notspecified,d46b9c81-8971-4f20-b662-39d62c8238c1,     ,2014-12-18T04:41:24.213358,2014-12-18T04:41:26.405898,,http://demo.ckan.org/dataset/dda6bdde-39ec-4a2d-bd4f-09f997e37a6f/resource/d46b9c81-8971-4f20-b662-39d62c8238c1/download/.xlsx
dda6bdde-39ec-4a2d-bd4f-09f997e37a6f,http-data-seoul-go-kr-openinf-fileview-jsp-infid-oa-12036,License Not Specified,notspecified,3ef39e02-2016-4971-9871-aa06f16ef484,     ,2014-12-18T04:41:26.760372,2014-12-18T04:41:38.715079,,http://demo.ckan.org/dataset/dda6bdde-39ec-4a2d-bd4f-09f997e37a6f/resource/3ef39e02-2016-4971-9871-aa06f16ef484/download/.xlsx
c3ae7942-5ee6-4202-9da1-b027b182a136,https-www-dropbox-com-s-2qu18l9r22iihqi-dfe-spend-july-2013-updated-for-data-gov-uk-csv-xls-dl-0,UK Open Government Licence (OGL),uk-ogl,bad78693-7e6e-40d0-89df-4d447504c3a6,Link to UK Education Dept July 2013 Spend Data,2014-09-16T15:56:36.085424,2014-09-16T15:57:13.788205,,https://www.dropbox.com/s/2qu18l9r22iihqi/DfE_Spend_July_2013_-_updated_for_data-gov-uk-csv.xls?dl=0
9428605d-d402-4459-8704-d14da4d91f90,https-www-google-co-jp,License Not Specified,notspecified,0850b2be-5637-49b8-8700-c6800f309324,,2014-04-24T09:28:02.438716,2014-07-21T06:14:45.707589,CSV,http://demo.ckan.org/dataset/9428605d-d402-4459-8704-d14da4d91f90/resource/0850b2be-5637-49b8-8700-c6800f309324/download/hinan2603e.csv
9428605d-d402-4459-8704-d14da4d91f90,https-www-google-co-jp,License Not Specified,notspecified,bad23514-8f8e-4bc1-b8d0-d0ebbfc0d798,yahoo,2014-04-25T01:56:35.802131,2014-06-25T02:22:10.438368,JSON,http://www.yahoo.co.jp
9428605d-d402-4459-8704-d14da4d91f90,https-www-google-co-jp,License Not Specified,notspecified,29be9f3d-6048-429a-b586-60ae056c8a9d,20143,2014-07-21T04:47:31.012052,2014-07-21T06:14:45.707589,CSV,http://demo.ckan.org/dataset/9428605d-d402-4459-8704-d14da4d91f90/resource/29be9f3d-6048-429a-b586-60ae056c8a9d/download/20140324update.csv
9428605d-d402-4459-8704-d14da4d91f90,https-www-google-co-jp,License Not Specified,notspecified,85dc94ad-6e54-49d9-90cd-cf4fded3d10a,20143,2014-07-21T05:41:05.732768,2014-07-21T06:14:45.707589,TXT,http://demo.ckan.org/dataset/9428605d-d402-4459-8704-d14da4d91f90/resource/85dc94ad-6e54-49d9-90cd-cf4fded3d10a/download/divmap.txt
3363e048-0c09-40b8-9312-07fbe544462d,http-www-bom-gov-au,Other (Not Open),other-closed,e198fbf1-cfc2-4e0b-85c4-006351b8856c,kate test dataset#1_Data#1Level,2015-01-29T23:53:14.399426,2015-01-30T00:00:14.684996,funky,http://www.bom.gov.au/URLz-Data#1Level_something
00852daf-f388-4303-bbb7-59255b149ff2,http-www-dati-gov-it-catalog-dataset-regione-basilicata-elenco-farmacie,Licenza non specificata,notspecified,39954f20-710c-4c0d-b202-9216c64fa78f,,2014-12-22T10:18:47.519015,2014-12-22T10:18:47.461260,JSON,http://dati.comune.matera.it/storage/f/2014-01-06T12%3A28%3A28.514Z/elenco-farmacie.json
cd67d34e-9349-4ad6-b32e-35e95205e255,hugo,Other (Public Domain),other-pd,cd403073-950a-4941-a1b7-08a273b9ff78,test1,2014-05-01T00:12:38.863927,2015-02-04T06:35:58.618916,CSV,http://demo.ckan.org/dataset/cd67d34e-9349-4ad6-b32e-35e95205e255/resource/cd403073-950a-4941-a1b7-08a273b9ff78/download/c.csv
cd67d34e-9349-4ad6-b32e-35e95205e255,hugo,Other (Public Domain),other-pd,f011d9ef-1459-4b4f-91c6-d060fb62fbb7,aaaa,2014-05-01T01:39:59.576738,2014-05-01T01:41:07.181956,xlsx,http://demo.ckan.org/dataset/cd67d34e-9349-4ad6-b32e-35e95205e255/resource/f011d9ef-1459-4b4f-91c6-d060fb62fbb7/download/a.xlsx
cd67d34e-9349-4ad6-b32e-35e95205e255,hugo,Other (Public Domain),other-pd,3bcee6ba-5547-4c75-a069-3d1f1e968b80,time test,2015-02-04T05:46:00.472627,2015-02-04T05:46:00.383305,XLS,http://demo.ckan.org/dataset/cd67d34e-9349-4ad6-b32e-35e95205e255/resource/3bcee6ba-5547-4c75-a069-3d1f1e968b80/download/time.xls
0e6cd69d-aab0-45ca-aecb-8085d7e96c52,hupbup,License Not Specified,notspecified,78d8b37d-7cb6-4823-8829-d89521fcfe40,,2015-01-05T08:53:30.801925,2015-01-05T08:53:32.647842,,http://gio
