,Data,,,,,,,
# Subjects Grouped,Average - Groups @ h=0.1,StDev - Groups @ h=0.1,Average - Groups @ h=0.2,StDev - Groups @ h=0.2,Average - Groups @ h=0.3,StDev - Groups @ h=0.3,Average - Groups @ h=0.4,StDev - Groups @ h=0.4
<=100,6.37,2.88,4.63,1.99,3.51,1.25,2.77,0.88
<=1000,8.28,3.56,5.21,1.82,3.88,1.20,3.00,0.93
<=10000,7.54,3.98,5.43,3.02,4.02,1.81,3.11,1.08
<=100000,7.63,4.39,4.63,2.18,3.47,1.52,2.81,1.18
<=1000000,10.17,5.22,6.25,2.42,4.38,1.35,3.50,1.14
<=10000000,12.91,4.35,6.64,1.21,4.64,1.03,3.27,0.79
Total Result,7.71,4.03,5.11,2.28,3.79,1.43,2.97,1.01
