Number of unique subjects: 124117,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41]
[21] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#nationalCode,91002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90379,0,0,0,0,1,91002,0,17550,0,0,91002,91002,49980,86125,86125,0,0,91002,0
[22] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#nutsCode,96856,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,96856,0,17438,0,0,96856,96856,53480,88561,88561,0,0,96856,0
[23] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#ownership,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,42,0,54,0,0,0,0,54,54,54,54,54,0,0,54,0
[24] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#proposedDate,918,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,917,918,0,918,42,897,0,0,918,918,916,918,918,133,1,918,133
[25] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#regionCoverage,32318,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26377,0,26401,5112,21055,0,0,26401,26401,17223,26379,26368,160,1,26401,2626
[26] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#respondent,26596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,26596,5171,21123,0,0,26596,26596,17323,26573,26561,160,1,26596,2632
[27] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#sameSpeciesRedlist,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,0,0,1,1,1,1,1,0,0,1,0
[28] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#sourceDb,124116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5171,38705,0,0,124116,124116,71046,115773,115761,160,1,124116,2634
[29] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#spaDate,5171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4064,0,0,5171,5171,3479,5167,5167,12,0,5171,635
[30] http://eunis.eea.europa.eu/rdf/sites-schema.rdf#updateDate,38705,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,38705,38705,20220,38504,38499,135,1,38705,2326
[31] http://purl.org/dc/terms/creator,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,0,0,0,0,0,0,0
[32] http://purl.org/dc/terms/licence,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,0,0,0
[33] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,124117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124117,71046,115773,115761,160,1,124116,2634
[34] http://www.w3.org/2000/01/rdf-schema#label,124117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71046,115773,115761,160,1,124116,2634
[35] http://www.w3.org/2003/01/geo/wgs84_pos#alt,71046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,67816,67808,160,1,71046,1561
[36] http://www.w3.org/2003/01/geo/wgs84_pos#lat,115773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115754,160,1,115773,2629
[37] http://www.w3.org/2003/01/geo/wgs84_pos#long,115761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,1,115761,2627
[38] http://www.w3.org/2004/02/skos/core#closeMatch,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,160,160
[39] http://www.w3.org/2004/02/skos/core#relatedMatch,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0
[40] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,124116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2634
[41] http://xmlns.com/foaf/0.1/page,2679,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
