Number of unique subjects: 19236,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54]
[21] http://www.semwebtech.org/mondial/10/meta#hasEstuary,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,231,0,0,0,0,0,0,0,0,226,0,231,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,231
[22] http://www.semwebtech.org/mondial/10/meta#hasHeadq,121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,121
[23] http://www.semwebtech.org/mondial/10/meta#hasProvince,1430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,68,75,75,75,0,0,0,0,0,0,0,0,0,75,71,0,0,0,0,0,75,0,75,75,0,70,61,75
[24] http://www.semwebtech.org/mondial/10/meta#hasSource,231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,226,0,231,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,231
[25] http://www.semwebtech.org/mondial/10/meta#inMountains,277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,277,0,0,277,0,18,277,0,177,0,0,0,0,0,0,0,0,0,0,57,0,0,277
[26] http://www.semwebtech.org/mondial/10/meta#inOrganization,9968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9968,0,0,0,0,0,0,0,9968,0,0,9968
[27] http://www.semwebtech.org/mondial/10/meta#independenceDate,190,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186,187,190,0,0,0,0,0,0,0,0,0,190,149,0,0,0,0,0,190,0,190,188,0,163,176,190
[28] http://www.semwebtech.org/mondial/10/meta#infantMortality,228,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,226,0,0,0,0,0,0,0,0,0,228,160,0,0,0,0,0,228,0,228,228,0,193,172,228
[29] http://www.semwebtech.org/mondial/10/meta#inflation,226,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224,0,0,0,0,0,0,0,0,0,226,159,0,0,0,0,0,226,0,226,224,0,197,173,226
[30] http://www.semwebtech.org/mondial/10/meta#isMember,9968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,237,162,0,0,0,0,0,237,0,237,231,0,198,176,237
[31] http://www.semwebtech.org/mondial/10/meta#lastEruption,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2
[32] http://www.semwebtech.org/mondial/10/meta#latitude,2047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,488,1200,286,203,2047,0,1585,0,0,0,0,0,0,847,0,787,0,288,0,0,2047
[33] http://www.semwebtech.org/mondial/10/meta#length,551,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,226,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,551
[34] http://www.semwebtech.org/mondial/10/meta#locatedAt,1279,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,260,488,0,1211,0,0,0,0,0,0,1211,0,1096,0,0,0,0,1211
[35] http://www.semwebtech.org/mondial/10/meta#locatedIn,5010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,287,70,1200,41,1013,0,0,0,0,0,0,0,0,0,0,288,0,0,1475
[36] http://www.semwebtech.org/mondial/10/meta#locatedInWater,376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,286,0,287,0,0,0,0,0,0,0,0,0,0,105,0,0,287
[37] http://www.semwebtech.org/mondial/10/meta#locatedOnIsland,490,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,203,0,490,0,0,0,0,0,0,420,0,353,0,52,0,0,490
[38] http://www.semwebtech.org/mondial/10/meta#longitude,2047,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1585,0,0,0,0,0,0,847,0,787,0,288,0,0,2047
[39] http://www.semwebtech.org/mondial/10/meta#mergesWith,128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41
[40] http://www.semwebtech.org/mondial/10/meta#name,6780,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166,0,0,0,0,0,5009,0,4678,234,288,198,176,6780
[41] http://www.semwebtech.org/mondial/10/meta#neighbor,649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,166,0,166,161,0,137,136,166
[42] http://www.semwebtech.org/mondial/10/meta#ofCountry,1452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,628,277,547,0,1452,0,0,0,0,0,1452
[43] http://www.semwebtech.org/mondial/10/meta#ofMember,9968,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,9968,0,0,9968
[44] http://www.semwebtech.org/mondial/10/meta#onEthnicGroup,628,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,628,0,0,0,0,0,628
[45] http://www.semwebtech.org/mondial/10/meta#onLanguage,277,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,277,0,0,0,0,0,277
[46] http://www.semwebtech.org/mondial/10/meta#onReligion,547,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,547,0,0,0,0,0,547
[47] http://www.semwebtech.org/mondial/10/meta#othername,5136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,4678,234,0,198,176,5009
[48] http://www.semwebtech.org/mondial/10/meta#percent,1701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1701
[49] http://www.semwebtech.org/mondial/10/meta#population,4678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,0,198,176,4678
[50] http://www.semwebtech.org/mondial/10/meta#populationGrowth,234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,196,174,234
[51] http://www.semwebtech.org/mondial/10/meta#type,10256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,10256
[52] http://www.semwebtech.org/mondial/10/meta#unemployment,198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149,198
[53] http://www.semwebtech.org/mondial/10/meta#wasDependentOf,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176
[54] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,19337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
