Number of unique subjects: 510,Count,[0],[1],[2]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,510,-,510,510
[1] http://www.w3.org/2000/01/rdf-schema#isDefinedBy,510,-,-,510
[2] http://www.w3.org/2002/07/owl#sameAs,510,-,-,-
