Number of unique subjects: 1,Count,[0],[1],[2],[3],[4],[5],[6],[7]
[0] http://purl.org/dc/terms/creator,2,-,1,1,1,1,1,1,1
[1] http://purl.org/dc/terms/date,1,-,-,1,1,1,1,1,1
[2] http://purl.org/dc/terms/language,1,-,-,-,1,1,1,1,1
[3] http://purl.org/dc/terms/publisher,1,-,-,-,-,1,1,1,1
[4] http://purl.org/dc/terms/title,1,-,-,-,-,-,1,1,1
[5] http://purl.org/dc/terms/type,1,-,-,-,-,-,-,1,1
[6] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3,-,-,-,-,-,-,-,1
[7] http://www.w3.org/2000/01/rdf-schema#label,1,-,-,-,-,-,-,-,-
