Number of unique subjects: 104757,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84],[85],[86],[87],[88],[89],[90],[91],[92],[93],[94],[95],[96],[97],[98],[99],[100],[101],[102],[103],[104],[105],[106],[107],[108],[109],[110],[111],[112],[113],[114],[115],[116],[117],[118],[119],[120],[121],[122],[123],[124],[125],[126],[127],[128],[129],[130],[131],[132],[133],[134],[135],[136],[137],[138],[139],[140],[141],[142],[143],[144],[145],[146],[147],[148],[149],[150],[151],[152],[153],[154],[155],[156],[157],[158],[159],[160],[161],[162],[163],[164]
[31] http://rdf.geospecies.org/ont/families/wQViY/wQViY_ontology.owl#humanVirusHasPossibleMosquitoVector,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0
[32] http://rdf.geospecies.org/ont/families/wQViY/wQViY_ontology.owl#isPossibleMosquitoVectorOfHumanMalaria,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
[33] http://rdf.geospecies.org/ont/families/wQViY/wQViY_ontology.owl#isPossibleMosquitoVectorOfVirus,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,45,64,64,0,19,0,0,0,0,0,0,0,0,0,0,0,0,64,43,43,14,14,64,64,0,53,64,0,0,0,0,40,0,64,0,0,0,0,0,64,64,0,64,64,0,0,64,0,0,0,64,62,1,0,6,0,0,64,0,0,14,5,0,64,64,64,64,64,0,64,0,0,58,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,42,0,0,0,0,39,64,64,0,64,0,0,0,0,0,64,0,0,0,0,0,0
[34] http://rdf.geospecies.org/ont/geospecies#closeMatch,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,1,0,0,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,8,0,0,0,0,8,0,8,7,8,0,0,0,0,0,8,0,0,0,8,0,8
[35] http://rdf.geospecies.org/ont/geospecies#hasArticle,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
[36] http://rdf.geospecies.org/ont/geospecies#hasBBCPage,309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,45,45,5,309,309,0,308,0,0,0,0,0,0,1,1,0,0,0,0,309,45,45,3,3,309,309,0,280,309,0,1,0,0,301,0,200,1,0,0,0,0,309,309,1,309,309,0,0,309,0,0,0,97,12,0,13,3,0,6,309,0,0,309,288,0,309,309,309,309,309,0,84,1,1,193,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,309,0,0,309,0,0,0,0,26,309,309,0,309,0,0,0,20,0,309,0,0,0,0,0,1
[37] http://rdf.geospecies.org/ont/geospecies#hasBBC_Ecozone,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,0,0,0,0,0,0,0,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,0,0,0,8,0,0,39,39,0,0,39,0,0,0,8,0,0,39,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,39,0,0,8,0,0,39,39,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,8
[38] http://rdf.geospecies.org/ont/geospecies#hasBBC_EcozoneName,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,0,0,0,8,0,0,39,39,0,0,39,0,0,0,8,0,0,39,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,39,0,0,8,0,0,39,39,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,8
[39] http://rdf.geospecies.org/ont/geospecies#hasBioLib,267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,267,34,267,267,0,243,0,0,0,0,0,0,3,3,0,0,0,0,267,233,233,6,6,267,267,0,242,267,0,3,0,0,246,0,267,3,0,0,0,0,267,267,3,267,264,0,0,267,0,0,0,171,25,1,44,8,0,6,267,0,0,236,234,3,267,267,267,267,267,0,214,5,6,108,184,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,267,0,0,249,0,0,0,0,27,267,267,0,267,0,0,0,58,0,267,0,0,0,0,0,3
[40] http://rdf.geospecies.org/ont/geospecies#hasBioLibPage,267,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,267,267,0,243,0,0,0,0,0,0,3,3,0,0,0,0,267,233,233,6,6,267,267,0,242,267,0,3,0,0,246,0,267,3,0,0,0,0,267,267,3,267,264,0,0,267,0,0,0,171,25,1,44,8,0,6,267,0,0,236,234,3,267,267,267,267,267,0,214,5,6,108,184,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,267,0,0,249,0,0,0,0,27,267,267,0,267,0,0,0,58,0,267,0,0,0,0,0,3
[41] http://rdf.geospecies.org/ont/geospecies#hasBugGuidePage,3833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3244,3244,0,856,0,0,0,0,0,0,8,8,0,0,0,2,3833,511,362,13,13,3244,3833,0,2006,3244,0,8,0,0,1275,0,1219,8,0,0,0,0,3833,3244,8,3244,823,1,0,3244,0,0,0,2354,70,2,25,30,0,0,3244,0,0,954,947,0,3833,3244,3833,3833,3833,0,3243,0,0,142,3196,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3833,0,0,1990,589,0,0,0,572,3833,3829,266,3833,560,0,0,3,0,3833,0,0,0,0,0,597
[42] http://rdf.geospecies.org/ont/geospecies#hasCanonicalName,18878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18878,0,11362,0,0,0,0,0,0,11,11,0,0,0,0,18878,1115,1115,21,21,18878,18878,0,14757,18878,0,11,0,0,10898,0,15504,11,0,0,0,0,18878,18878,11,18878,14592,0,0,18878,0,0,0,9144,1155,43,72,46,0,4565,18878,0,0,11467,10143,12,18878,18878,18878,18878,18878,0,11930,2539,3420,10363,16502,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18878,0,0,14248,0,0,0,0,352,18878,18878,0,18878,0,0,0,63,0,18878,0,0,1,0,0,11
[43] http://rdf.geospecies.org/ont/geospecies#hasClassName,18928,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,11405,0,0,0,0,0,0,11,11,0,0,0,0,18878,1156,1115,21,21,18878,18928,0,14797,18878,0,11,0,0,10898,0,15504,11,0,0,0,0,18878,18878,11,18878,14592,0,0,18878,0,0,0,9144,1155,43,72,46,0,4565,18878,0,0,11510,10184,12,18878,18878,18928,18878,18928,0,11930,2539,3420,10363,16502,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18928,0,0,14292,0,0,0,0,395,18928,18922,36,18928,44,0,0,63,0,18928,0,0,1,0,0,11
[44] http://rdf.geospecies.org/ont/geospecies#hasCollector,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,13,0,13,0,13,13,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,13,0,13,13,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13
[45] http://rdf.geospecies.org/ont/geospecies#hasCommonName,12618,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,10,10,8,0,0,2,12378,933,501,15,14,11362,12618,0,11465,11370,0,10,0,0,8018,0,10403,10,0,0,0,0,12512,11417,10,11362,11184,2,0,11362,0,0,0,4196,696,5,39,26,0,4548,11362,0,0,9895,9167,12,12512,11362,12610,12378,12555,0,7281,2539,3415,8145,9773,8,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,12618,0,0,11523,1150,0,0,0,1511,12610,12591,776,12618,1055,0,0,63,0,12618,0,0,1,8,0,1034
[46] http://rdf.geospecies.org/ont/geospecies#hasContinent,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,52,39,52,52,13,13,0,13,0,0,0,0,0,0,0,0,0,39,0,0,39,13,39,0,0,0,0,8,13,0,39,39,0,0,52,0,0,0,21,0,13,52,52,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,52,0,0,21,0,0,52,52,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0,21
[47] http://rdf.geospecies.org/ont/geospecies#hasContinentName,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,0,0,0,8,0,0,39,39,0,0,39,0,0,0,8,0,0,39,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,39,0,0,8,0,0,39,39,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,8
[48] http://rdf.geospecies.org/ont/geospecies#hasCountry,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,52,52,13,13,0,13,0,0,0,0,0,0,0,0,0,39,0,0,39,13,39,0,0,0,0,8,13,0,39,39,0,0,52,0,0,0,21,0,13,52,52,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,52,0,0,21,0,0,52,52,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0,21
[49] http://rdf.geospecies.org/ont/geospecies#hasCountryName,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,39,0,39,0,0,0,0,8,0,0,39,39,0,0,39,0,0,0,8,0,0,39,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,39,0,0,8,0,0,39,39,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,8
[50] http://rdf.geospecies.org/ont/geospecies#hasCounty,54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,13,13,0,13,0,0,0,0,0,0,0,0,0,39,0,0,39,13,39,0,0,0,0,8,13,0,39,39,0,0,52,0,0,0,21,0,13,52,52,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,53,0,0,21,0,0,52,52,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0,21
[51] http://rdf.geospecies.org/ont/geospecies#hasCountyName,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,0,13,0,0,0,0,0,0,0,0,0,39,0,0,39,13,39,0,0,0,0,8,13,0,39,39,0,0,52,0,0,0,21,0,13,52,52,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,52,0,0,21,0,0,52,52,0,0,0,0,52,0,0,0,0,0,52,0,0,0,0,0,21
[52] http://rdf.geospecies.org/ont/geospecies#hasDateRange,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,0,13,0,0,11,9,9,1,1,11,11,0,11,11,0,24,0,0,10,0,11,11,13,0,0,0,11,11,24,11,11,0,13,11,13,13,13,7,0,0,0,2,0,1,24,0,0,9,7,0,11,11,11,11,11,0,11,1,1,1,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,13,13,3,11,11,0,24,0,0,0,3,0,24,0,0,0,0,0,24
[53] http://rdf.geospecies.org/ont/geospecies#hasDayOfYear,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,13,0,0,11,9,9,1,1,11,11,0,11,11,0,24,0,0,10,0,11,11,13,0,0,0,11,11,24,11,11,0,13,11,13,13,13,7,0,0,0,2,0,1,24,0,0,9,7,0,11,11,11,11,11,0,11,1,1,1,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24,0,0,13,13,3,11,11,0,24,0,0,0,3,0,24,0,0,0,0,0,24
[54] http://rdf.geospecies.org/ont/geospecies#hasEOL,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,8,0,1,0,0,8,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,8,0,0,0,0,8,0,8,7,8,0,0,0,0,0,8,0,0,0,8,0,8
[55] http://rdf.geospecies.org/ont/geospecies#hasEndDayOfYear,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,13,0,13,13,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,13
[56] http://rdf.geospecies.org/ont/geospecies#hasExpectationOf,24801,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,0,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[57] http://rdf.geospecies.org/ont/geospecies#hasFamilyInfoContributor,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,2
[58] http://rdf.geospecies.org/ont/geospecies#hasFamilyName,20522,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1534,1115,21,21,18878,20522,0,15632,18878,0,11,0,0,10898,0,15504,11,0,0,0,0,20522,18878,11,18878,14592,1,0,18878,0,0,0,9144,1155,43,72,46,0,4565,18878,0,0,12625,11438,12,20522,18878,20522,20522,20522,0,11930,2539,3420,10363,16502,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,20522,0,0,15892,1644,0,0,0,1368,20522,20413,796,20522,1145,0,0,63,0,20522,0,0,1,0,0,1655
[59] http://rdf.geospecies.org/ont/geospecies#hasGBIF,1685,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1115,21,20,1115,1685,0,1128,1123,0,9,0,0,659,0,1113,9,0,0,0,0,1594,1157,9,1115,1089,2,0,1115,0,0,0,637,117,3,72,44,0,40,1115,0,0,887,1034,3,1594,1115,1677,1534,1635,0,1059,31,35,430,948,8,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1685,0,0,1275,479,0,0,0,520,1677,1680,395,1685,530,0,0,59,0,1685,0,0,0,8,0,436
[60] http://rdf.geospecies.org/ont/geospecies#hasGBIFPage,1115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,1115,1115,0,712,1115,0,9,0,0,659,0,1113,9,0,0,0,0,1115,1115,9,1115,1089,0,0,1115,0,0,0,637,117,3,72,44,0,40,1115,0,0,435,475,3,1115,1115,1115,1115,1115,0,1059,31,35,430,948,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1115,0,0,708,0,0,0,0,88,1115,1115,0,1115,0,0,0,59,0,1115,0,0,0,0,0,9
[61] http://rdf.geospecies.org/ont/geospecies#hasGNI,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,22,0,22,22,0,1,0,0,20,0,21,1,0,0,0,0,21,21,1,21,21,0,0,21,0,0,0,16,14,0,2,4,0,0,21,0,0,14,11,0,21,21,21,21,21,0,19,0,0,17,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,22,0,0,0,0,16,21,22,1,22,0,0,0,4,0,22,0,0,0,1,0,2
[62] http://rdf.geospecies.org/ont/geospecies#hasGNIPage,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21,21,0,21,21,0,1,0,0,20,0,21,1,0,0,0,0,21,21,1,21,21,0,0,21,0,0,0,16,14,0,2,4,0,0,21,0,0,13,10,0,21,21,21,21,21,0,19,0,0,17,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,21,0,0,0,0,15,21,21,0,21,0,0,0,4,0,21,0,0,0,0,0,1
[63] http://rdf.geospecies.org/ont/geospecies#hasGenusName,18878,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18878,0,14757,18878,0,11,0,0,10898,0,15504,11,0,0,0,0,18878,18878,11,18878,14592,0,0,18878,0,0,0,9144,1155,43,72,46,0,4565,18878,0,0,11467,10143,12,18878,18878,18878,18878,18878,0,11930,2539,3420,10363,16502,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18878,0,0,14248,0,0,0,0,352,18878,18878,0,18878,0,0,0,63,0,18878,0,0,1,0,0,11
[64] http://rdf.geospecies.org/ont/geospecies#hasGeoSpeciesPage,20875,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15903,18886,0,11,0,0,10898,0,15504,11,0,0,0,0,20739,18956,11,18878,14592,2,0,18878,0,0,0,9144,1155,43,72,46,0,4565,18878,0,0,12933,11754,12,20739,18878,20867,20522,20789,0,11930,2539,3420,10363,16502,8,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,20875,0,0,16208,1861,0,0,0,1608,20867,20729,1017,20875,1461,0,0,63,0,20875,0,0,1,8,0,1663
[65] http://rdf.geospecies.org/ont/geospecies#hasGeodeticDatum,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,39,0,39,0,0,0,0,8,0,0,39,39,0,0,39,0,0,0,8,0,0,39,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,39,39,39,39,39,39,39,39,0,39,39,0,0,8,0,0,39,39,0,0,0,0,39,0,0,0,0,0,39,0,0,0,0,0,8
