Number of unique subjects: 352742,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44]
[24] http://www.fer.hr/projekt#ownsCourse,40509,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,39,90,80,0,0,0,0,0,47,0,0,0,90,0,0,0,0,80,0
[25] http://www.fer.hr/projekt#partOfKnowledgeGrouping,27283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1737,1737,0,20808,0,0,0,0,22545,0,0,0,0,1737,0
[26] http://www.fer.hr/projekt#phoneNumber,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,160,0,0,0,0,0,90,0,0,0,188,0,0,0,0,168,0
[27] http://www.fer.hr/projekt#place,1340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1073,0,0,0,0,0,294,0,0,0,1340,0,0,0,0,1132,0
[28] http://www.fer.hr/projekt#postalAddress,2157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,272,0,0,0,1080,0,0,0,0,1065,0
[29] http://www.fer.hr/projekt#professionalQualificationAbbreviation,8406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,7835,0,0,7835,1959,7835,7835
[30] http://www.fer.hr/projekt#studyDuration,1934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1934,0,0,0,0,0,0,1934,0,0,0,0,1934,0
[31] http://www.fer.hr/projekt#studyTerm,1934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1934,0,0,0,0,1934,0
[32] http://www.fer.hr/projekt#teachedInProgrammeTerm,102660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,53374,53374,0,0,0,0,0,0
[33] http://www.fer.hr/projekt#termNO,20808,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,20808,0,0,0,0,0,0
[34] http://www.fer.hr/projekt#url,326,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,326,0,0,0,0,298,0
[35] http://www.fer.hr/projekt#zip,1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1274,0,792,0,0,0,0
[36] http://www.ravendesk.org/univ-ont#hasManifestation,88937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,33419,0,0,0,0,33419,0
[37] http://www.ravendesk.org/univ-ont#instanceOfCourse,88937,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88937,0,0,0,0,0,0
[38] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,358703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56,792,15035,3657,59287,15035
[39] http://www.w3.org/2000/01/rdf-schema#label,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
[40] http://www.w3.org/2002/07/owl#sameAs,792,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
[41] http://xmlns.com/foaf/0.1/firstName,15035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3657,15035,15035
[42] http://xmlns.com/foaf/0.1/mbox_sha1sum,3657,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3657,3657
[43] http://xmlns.com/foaf/0.1/name,66688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15035
[44] http://xmlns.com/foaf/0.1/surname,15035,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
