Number of unique subjects: 35531,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84]
[13] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ACouleur,1128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,1103,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,472,21,61,48,49,264,73,10,69,42,1126,1103,0,0,1126,0,0,0,0,496,0,0,127,1,62,110,122,129,147,143,102,2,103,76,1103,0,0,0,0,1126,1126,1126,0,1099
[14] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AD-C3-A9fense_du_jeton,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,38,38,0,0
[15] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AD-C3-A9veloppeur_du_jeu_vid-C3-A9o,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,6
[16] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ADate_d-27admission_dans_Encyclopaediae_Pok-C3-A9monis,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0
[17] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ADate_de_cr-C3-A9ation_du_site,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0
[18] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ADate_de_sortie_europ-C3-A9enne,95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,95,0,60
[19] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ADeuxi-C3-A8me_type_de_la_carte,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
[20] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3ADomaine_du_site,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0
[21] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AExp-C3-A9rience_de_600_000_au_niveau_100,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
[22] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3AExp._au_niveau_100,1105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,471,17,60,46,49,263,73,10,65,38,1103,1103,0,0,1103,0,0,0,0,489,0,0,127,0,62,109,119,126,144,139,100,2,102,75,1103,0,0,0,0,1103,1103,1103,0,1095
