Number of unique subjects: 4220712,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64]
[21] http://iflastandards.info/ns/isbd/elements/P1025,71582,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30275,162,16327,1,88,828,16,6179,29396,55,17255,6,56765,1,183,0,1115,2,1844,16030,1,1,353,856,63727,255,234,0,9,70764,0,2242,1025,390,66,37350,0,70648,9918,58876,3778,71541,39168
[22] http://iflastandards.info/ns/isbd/elements/P1026,1049371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12030,646322,0,27538,3635,10,17393,20163,693,28104,112,476711,3,911,0,8430,2,15330,30730,13,3,273,549,780899,664,635,0,14,1005658,0,5958,4046,21104,1617,672889,0,984400,40165,981271,96413,1006142,917375
[23] http://iflastandards.info/ns/isbd/elements/P1030,12048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10876,0,67,15,0,4,21,0,151,2,8128,0,0,0,15,0,168,317,2,0,0,0,6833,8,9,0,0,12021,0,37,33,911,104,7119,0,11686,538,12012,2071,12030,11823
[24] http://iflastandards.info/ns/isbd/elements/P1031,658662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,19378,1692,6,9431,9681,469,14345,51,290737,3,473,0,793,1,7537,14127,10,0,124,106,498142,330,398,0,9,646038,0,2443,2166,15007,1423,420893,0,631328,25354,632289,65358,646323,598894
[25] http://iflastandards.info/ns/isbd/elements/P1033,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,1,0,0,6,0,1,0,0,0,4,0,6,2,6,0,6,4
[26] http://iflastandards.info/ns/isbd/elements/P1034,41363,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,2,2,0,563,3,14827,0,3,4,2,0,10,90,0,0,1,0,39675,32,12,0,0,41237,0,407,8,46,17,41027,2,38133,836,41078,3130,41237,40749
[27] http://iflastandards.info/ns/isbd/elements/P1037,16293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2669,3667,20,1807,22,10686,0,812,0,1532,0,914,157,1,0,29,19,7639,45,254,0,4,15848,5,580,429,37,2,4591,0,15521,1897,14307,2196,15978,8456
[28] http://iflastandards.info/ns/isbd/elements/P1038,116,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,43,0,30,0,96,0,6,0,0,0,11,0,0,0,0,0,20,0,13,0,5,101,0,6,6,1,1,4,0,113,2,74,6,113,3
[29] http://iflastandards.info/ns/isbd/elements/P1039,109597,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32108,317,12277,156,76500,1,22110,0,784,5,4825,24,2,1,215,25,31211,7953,1584,0,36,98779,2,8297,4555,358,85,9629,0,98044,18192,62042,5247,100184,9170
[30] http://iflastandards.info/ns/isbd/elements/P1040,161808,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,164,30753,197,79398,1,13636,0,507,8,4969,8340,3,3,301,145,53841,798,479,0,17,104756,3,2562,1832,229,85,15402,0,105497,20769,90225,9506,108491,18354
[31] http://iflastandards.info/ns/isbd/elements/P1041,1103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63,0,811,0,40,0,4,0,45,5,0,0,4,0,564,2,1,0,1,1050,0,52,26,2,0,412,0,1058,57,675,139,1065,499
[32] http://iflastandards.info/ns/isbd/elements/P1042,145060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150,111552,0,2336,0,348,5,2011,139,1,0,293,111,115207,820,361,0,5,142776,2,2308,5695,659,153,20653,0,142615,25299,118462,4855,143554,32399
[33] http://iflastandards.info/ns/isbd/elements/P1044,524,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,385,0,102,4,0,0,64,2,0,0,1,0,271,1,5,0,0,514,0,25,3,0,0,226,1,506,37,519,66,520,308
[34] http://iflastandards.info/ns/isbd/elements/P1045,1627612,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,22456,9,16800,8,30782,37056,25,6,925,941,850688,12121,3748,3,147,1147282,6,21956,13197,12324,1068,593491,6,1133820,116889,1067967,118283,1154420,780429
