Number of unique subjects: 1608,Count,[0],[1],[2],[3],[4],[5],[6],[7]
[0] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1626,-,136,1094,1606,1195,272,1,1
[1] http://www.w3.org/2000/01/rdf-schema#comment,137,-,-,58,136,64,57,0,0
[2] http://www.w3.org/2000/01/rdf-schema#domain,1094,-,-,-,1094,984,0,0,0
[3] http://www.w3.org/2000/01/rdf-schema#label,1925,-,-,-,-,1194,272,1,0
[4] http://www.w3.org/2000/01/rdf-schema#range,1195,-,-,-,-,-,0,0,0
[5] http://www.w3.org/2000/01/rdf-schema#subClassOf,272,-,-,-,-,-,-,1,0
[6] http://www.w3.org/2002/07/owl#equivalentClass,1,-,-,-,-,-,-,-,0
[7] http://www.w3.org/2002/07/owl#versionInfo,1,-,-,-,-,-,-,-,-
