Number of unique subjects: 106506,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39]
[27] http://www.europeana.eu/schemas/edm/type,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,15215,15215,15215,0,0,0,0,0
[28] http://www.europeana.eu/schemas/edm/year,16793,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,13744,13744,13744,0,0,0,0,0
[29] http://www.openarchives.org/ore/terms/aggregates,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15215,0,0,15215,0,15215,0,0,0
[30] http://www.openarchives.org/ore/terms/describes,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,15215,15215,0,0,15215,0
[31] http://www.openarchives.org/ore/terms/isDescribedBy,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,15215,0,15215,0,0,0
[32] http://www.openarchives.org/ore/terms/proxyFor,30430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30430,30430,0,0,0,0,0
[33] http://www.openarchives.org/ore/terms/proxyIn,30430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30430,0,0,0,0,0
[34] http://www.w3.org/1999/02/22-rdf-syntax-ns#type,91290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15215,15215,15215,15215,0
[35] http://www.w3.org/1999/xhtml/vocab#license,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,15215,0
[36] http://xmlns.com/foaf/0.1/depiction,15216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
[37] http://xmlns.com/foaf/0.1/isPrimaryTopicOf,30430,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
[38] http://xmlns.com/foaf/0.1/primaryTopic,15215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
[39] http://xmlns.com/foaf/0.1/thumbnail,15216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
